保管成本指在保管过程中为保管物品而发生的全部费用。,保管成本指在保管过程中为保管物品而发生的全部费用。,10
配装用来解决在单个客户配送数量不能达到车辆的有效运载负荷时，如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题。,在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题，这就需要配装。,10
仓储是指利用仓库及相关设施设备进行物品的入库、存贮、出库的活动。,仓储是指利用仓库及相关设施设备进行物品的入库、存贮、出库的活动。,10
配送模式有自营配送模式、共同配送模式和第三方配送三种。,配送模式：自营配送模式；共同配送模式；第三方配送。,10
电子标签根据其功能可以分为传统电子标签和智慧型电子标签。,智慧型电子标签。,5
运输系统包括运输线路、运输节点 、运输工具及运输的参与者。,运输系统的构成要素包括运输线路、运输节点 、运输工具及运输的参与者。,10
矩阵制优点：打破单向领导，加强了管理部门间的联系和配合，有利于信息沟通和共同决策，提高工作的效率；把不同的专业人员组织在一起，有利于激发人们的积极性和创造性，提高技术水平和管理水平；把完成任务所需的各种专业知识和经验集中在一起，提高了管理组织的机动性和灵活性。,矩阵制优点：打破单向领导，加强了管理部门间的联系和配合，有利于信息沟通和共同决策，提高工作的效率；把不同的专业人员组织在一起，有利于激发人们的积极性和创造性，提高技术水平和管理水平；把完成任务所需的各种专业知识和经验集中在一起，提高了管理组织的机动性和灵活性。,10
整合按单分拣方式，主要应用在每个订单只有一种品项的场合，为了提高输配送的效率，将某一地区的订单整合成一张拣货单，做一次分拣后，集中捆包出库。它属于按单分拣的一种变形方式,整合按单分拣方式，主要应用在每个订单只有一种品项的场合，为了提高输配送的效率，将某一地区的订单整合成一张拣货单，做一次分拣后，集中捆包出库。它属于按单分拣的一种变形方式,10
分拣作业就是将用户所订的货物从储存保管处取出，按用户分类、集中、处理、放置。,分拣作业就是将用户所订的货物从储存保管处取出，按用户分类、集中、处理、放置。,10
企业资源计划，由 Gartner Group 公司于1990年提出。企业资源计划是 MRP II下一代的制造业系统和资源计划软件。,企业资源计划即 ERP (Enterprise Resource Planning)，由美国 Gartner Group 公司于1990年提出。企业资源计划是 MRP II（企业制造资源计划）下一代的制造业系统和资源计划软件。,10
所谓“物动量”，就是物品运动的量。,所谓“物动量”，就是物品运动的量。,10
补货作业的目的包括：保证拣货区随时有货可拣，能够及时满足客户订货的需要，以提高拣货的效率。,补货作业的目的是：保证拣货区随时有货可拣，能够及时满足客户订货的需要，以提高拣货的效率。,10
定期库存控制法是以固定的检查和订购周期为基础的一种库存量控制方法。,定期库存控制法是以固定的检查和订购周期为基础的一种库存量控制方法。,10
托盘是物流过程中承载货物的集装单元化工具之一，是与搬运装卸机械配套使用的重要的集装器具。,托盘是物流过程中承载货物的集装单元化工具之一。,5
盘点：是指定期或临时对库存物品的实际数量清查、清点的作业。,盘点：是指定期或临时对库存物品的实际数量清查、清点的作业。,10
储调中心以储备为主要工作内容，其功能与传统仓库基本一致。,储调中心以储备为主要工作内容，其功能与传统仓库基本一致。,10
子标签拣选系统：以一连串装于货架格位上的电子显示装置取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,子标签拣选系统（DPS），是以一连串装于货架格位上的电子显示装置(电子标签)取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,10
组织结构建立的原则：任务目标原则、精简原则、专业分工与协作原则、指挥统一原则、责权利相结合原则、有效管理幅度原则、稳定性和适应性相结合原则。,任务目标原则、精简原则、责权利相结合原则、有效管理幅度原则、稳定性和适应性相结合原则。,7
集中配货作业是指同时为多个客户进行配货服务。,集中配货作业是指同时为多个客户进行配货服务。,10
配送中心绩效评价的作用包括：提出和追踪配送运作目标及完成情况，并进行不同层次和角度的分析与评价，实现对配送活动的事前控制；判断配送运作目标的可行性和完成程度，进而调整配送目标；提升配送绩效；是企业内部监控的有效工具和方法；分析与评估配送运作的资源素质与能力，确定配送企业发展战略。,配送中心绩效评价的作用包括：提出和追踪配送运作目标及完成情况，并进行不同层次和角度的分析与评价，实现对配送活动的事前控制；判断配送运作目标的可行性和完成程度，进而调整配送目标；提升配送绩效；是企业内部监控的有效工具和方法；分析与评估配送运作的资源素质与能力，确定配送企业发展战略。,10
盘点的原因有：是否常发现仓库有不明物品，没标示，没数量，状态不明确？生产计划制定过程中，是否经常出现产品多计划或少计划，造成库存积压和短缺现象？库房现场是否经常凌乱，物料急用时一时难于找到?仓库、现场的盘点是否经常出现异常（数量不准、漏盘、多盘等等），是我们盘点中哪一个环节出现了问题?,盘点的原因：是否常发现仓库有不明物品，没标示，没数量，状态不明确？生产计划制定过程中，是否经常出现产品多计划或少计划，造成库存积压和短缺现象？库房现场是否经常凌乱，物料急用时一时难于找到?仓库、现场的盘点是否经常出现异常（数量不准、漏盘、多盘等等），是我们盘点中哪一个环节出现了问题?,10
人至货前拣选方式的特点包括：货物处于静态储存方式，要求货物必须是小型，且出货量较少。,人至货前拣选方式的特点包括：货物处于静态储存方式，要求货物必须是小型，且出货量较少。,10
分拣的动作由自动的机械负责，电子信息输入后自动完成分拣作业，无须人手介入。大致可分为合流、分拣识别、分拣分流和分运四个分段。,分拣的动作由自动的机械负责，须人手介入。大致可分为合流、分拣识别、分拣分流和分运四个分段。,6
仓储主要由以下几个部分组成：物品储存作业区，验收、分发作业区，管理室及生活间，其他辅助设施等。,仓储主要由以下几个部分组成：物品储存作业区，验收、分发作业区，管理室及生活间，其他辅助设施等。,10
订单处理的基本原则：要使客户产生信赖感；尽量缩短订货周期；提供紧急订货 ；减少缺货现象；不忽略小客户；装配力求完整；提供对客户有利的包装；要随时提供订单处理的情况。,订单处理的基本原则：要使客户产生信赖感；尽量缩短订货周期；提供紧急订货 ；减少缺货现象；不忽略小客户；装配力求完整；提供对客户有利的包装；要随时提供订单处理的情况。,10
对货物进行储存的区域称为保管储区。,保管储区：是指对货物进行储存的区域。,10
拣货作业过程，由生成拣货资料、行走或搬运、拣取和分类与集中几个环节组成。,拣货作业过程，由生成拣货资料、行走或搬运、拣取和分类与集中几个环节组成。,10
垛牌：为了保管及时掌握物品资料，需要在或多上挂有过关该垛物品的资料标签。,垛牌：为了保管及时掌握物品资料，需要在或多上挂有过关该垛物品的资料标签。,10
按货架的封闭程度分类：敞开式货架、半封闭式货架、封闭式货架,按货架的封闭程度分类：敞开式货架,3
物品出库时，在保证库存物品的价值和使用价值不变的前提下，坚持“先进先出”的原则。,物品出库时，在保证库存物品的价值和使用价值不变的前提下，坚持“先进先出”的原则。,10
配送中心作业方案规划阶段包括：功能流程设计； 平面及设施布置； 信息系统规划； 作业流程设计； 组织结构及人员配置； 制定进度计划；  建设成本的概算 。,配送中心作业方案规划阶段：功能流程设计； 平面及设施布置； 信息系统规划； 作业流程设计； 组织结构及人员配置； 制定进度计划；  建设成本的概算 。,10
补货方式：整箱补货；整托补货；货架之间的补货。,补货方式：整箱补货；整托补货；货架之间的补货。,10
仓库内部平面布局有：横列式、纵列式、混合式。,仓库内部平面布局有：横列式、混合式。,7
仓库专业化程度主要与库存物品的种类有关。,仓库专业化程度与库存物品有关。,6
订单处理的基本流程：订单准备；订单传输；订单录入；订单履行；订单跟踪。,订单准备；订单传输。,4
配送运输一般使用汽车做运输工具，是一种较短距离、较小规模、额度较高的运输形式。,配送运输是较短距离、较小规模、额度较高的运输形式，一般使用汽车做运输工具。,10
盘点内容包括：数量盘点、重量盘点、账实核对、账卡核对、账账核对。,盘点内容包括：数量盘点、重量盘点、账实核对、账卡核对、账账核对。,10
订单处理是指：从接到客户订单开始到着手准备拣货之间的作业阶段。通常包括订单确认、存货查询、单据处理等内容。,订单处理是指：从接到客户订单开始到着手准备拣货之间的作业阶段。通常包括订单确认、存货查询、单据处理等内容。,10
储位划分的目的：一是为了提高仓库平面和空间利用率，另一方面是为了提高物品保管质量，方便出入库作业，从而降低物品的仓储处置成本。,储位划分的目的：一是为了提高仓库平面和空间利用率，另一方面是为了提高物品保管质量，方便出入库作业，从而降低物品的仓储处置成本。,10
合理选择备货作业方式包括：全面分拣、批处理分拣、分区分拣、分组分拣。,合理选择备货作业方式包括：全面分拣、批处理分拣、分区分拣、分组分拣。,10
流通加工是指物品在从生产领域向消费领域流动的过程中，流通主体为了完善流通服务功能，促进销售、维护产品质量和提高物流效率而开展的一项活动。,流通加工：物品在从生产领域向消费领域流动的过程中，流通主体（即流通当事人）为了完善流通服务功能，促进销售、维护产品质量和提高物流效率而开展的一项活动。,10
为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的部门就是配送中心。,为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的部门就是配送中心。,10
固定订单量分批方法的优点：维持稳定的拣货效率，使自动化的拣货、分类设备得以发挥最大功效。固定订单量分批方法的缺点：订单的商品总量变化不宜太大，否则会造成分类作业的不经济。,固定订单量分批方法的优缺点：优点——维持稳定的拣货效率，使自动化的拣货、分类设备得以发挥最大功效。缺点——订单的商品总量变化不宜太大，否则会造成分类作业的不经济。,10
分货作业：在拣货作业完成之后，将所拣选的货品根据不同的顾客或配送路线进行的分类，对其中需要经过流通加工的商品拣选集中后，先按流通加工方式分类，分别进行加工处理，再按送货要求分类出货的过程。,分货作业：在拣货作业完成之后，将所拣选的货品根据不同的顾客或配送路线进行的分类，对其中需要经过流通加工的商品拣选集中后，先按流通加工方式分类，分别进行加工处理，再按送货要求分类出货的过程。,10
配送中心选址前要先确定建设配送中心的数量及网络结构图。,配送中心选址前，首先要确定建设配送中心的数量及网络结构图。,10
运输管理系统，英文缩写“TMS”，是一种“供应链”分组下的（基于网络的）操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,是一种操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,8
仓储成本主要指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，消耗主要包括工资和能源消耗等。,仓储成本主要指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，消耗主要包括工资和能源消耗等。,10
重心法的假设条件包括：需求量集中于某一点上；不同地点物流节点的建设费用、运营费用相同；运输费用随运输距离成正比增加；运输线路为空间直线。,重心法的假设条件：需求量集中于某一点上；不同地点物流节点的建设费用、运营费用相同；运输费用随运输距离成正比增加；运输线路为空间直线。,10
堆垛方式是应用最广泛的、样式最繁多的一种堆码方式。,堆垛方式是应用最广泛的、样式最繁多的一种堆码方式。,10
配送中心的设备主要用于物流作业活动，如：保管、搬运、存储、装卸、配送等。,配送中心的设备主要用于物流作业活动，如：保管、搬运、存储、装卸、配送等。,10
MRP包含几个要素：原料、生产、销售、产品结构。 ,原料。,2
直线职能制的优点：命令统一，职责明确，专业化管理程度较高，组织稳定。它既保证了管理体系的集中统一，又可以在各级行政负责人的领导下，充分发挥各专业管理机构的作用；直线职能制的缺点：职能部门之间缺乏交流、协作和配合，职能部门与行政负责人之间容易产生摩擦，组织系统的灵敏度较低，下级的许多工作要直接向上层领导报告请示才能处理，常常造成企业运作效率低下。,直线职能制的优点：命令统一，职责明确，专业化管理程度较高，组织稳定。它既保证了管理体系的集中统一，又可以在各级行政负责人的领导下，充分发挥各专业管理机构的作用；直线职能制的缺点：职能部门之间缺乏交流、协作和配合，职能部门与行政负责人之间容易产生摩擦，组织系统的灵敏度较低，下级的许多工作要直接向上层领导报告请示才能处理，常常造成企业运作效率低下。,10
仓库平面布置的要求：仓库平面布置要适应仓储作业过程的要求，要有利于仓储作业的顺利进行；仓库平面布置要有利于提高仓储经济效益；仓库平面布置要有利于保证安全和职工的健康。,仓库平面布置的要求：仓库平面布置要适应仓储作业过程的要求，要有利于仓储作业的顺利进行；仓库平面布置要有利于提高仓储经济效益；仓库平面布置要有利于保证安全和职工的健康。,10
配送中心的各个阶段：配送中心评估阶段；配送中心设计阶段；配送中心实施阶段。,配送中心各阶段包括：配送中心评估阶段；配送中心设计阶段；配送中心实施阶段。,10
备货作业成本分析与控制包括以下内容：合理选择备货作业方式；合理安排仓储空间，降低备货成本；加强货位管理，提高备货作业效率。,合理选择备货作业方式；加强货位管理，提高备货作业效率。,6
物品出库时的“三不”指的是：未接单据不翻账，未经审单不备货，未经复核不出库。,物品出库时的“三不”指的是：未接单据不翻账，未经审单不备货，未经复核不出库。,10
垛形指货跺的外部形状。可为矩形、正方形、三角形、梯形、半圆形等。,垛形指货跺的外部形状。可为矩形、正方形、三角形、梯形、半圆形等。,10
物品检验内容：数量检验、质量检验,物品检验内容只有数量检验,5
送货作业：将拣取分类完成之货品作好出货检查，装入合适的容器，做好标志，根据车辆趟次别或厂商别等指示将物品运至出货准备区，最后装车配送，是配送作业的最后一个环节。,送货作业是指将拣取分类完成之货品作好出货检查，装入合适的容器，做好标志，根据车辆趟次别或厂商别等指示将物品运至出货准备区，最后装车配送，是配送作业的最后一个环节。,10
仓库内部空间布局也称为仓库内部竖向布局，指储存物品在仓库立体空间上的布局，其目的在于充分有效地利用仓库空间。,仓库内部空间布局指储存物品在仓库立体空间上的布局，其目的在于利用仓库空间。,8
仓储合同的验收有三点：一是验收项目、二是验收方法、三是验收期限。,仓储合同的验收包括：验收项目、验收方法、验收期限。,10
复合分拣是按单分拣与批量分拣的组合运用，按订单品项、数量和出库频率决定哪些订单适合按单分拣，哪些订单适合批量分拣。,复合分拣是按单分拣与批量分拣的组合运用，按订单品项、数量和出库频率决定哪些订单适合按单分拣，哪些订单适合批量分拣。,10
配送模式：自营配送模式；共同配送模式；第三方配送。,共同配送模式；第三方配送。,6
在库作业准备包括四个部分：查验进货账卡，熟悉物品特性，制定物品储存方法，做好储存准备工作。,在库作业准备包括四个部分：查验进货账卡，熟悉物品特性，制定物品储存方法，做好储存准备工作。,10
条码由一组规则排列的条、空及其对应代码组成，表示商品特定信息的标识。,条码：是由一组规则排列的条、空及其对应代码组成，是表示商品特定信息的标识。 ,10
一般形成三级仓储管理层次，即决策层、执行监督层和仓库作业层。,决策层。,3
补货时机一般有以下三种方式：批次补货、定时补货、随机补货,补货时机一般有以下三种方式：批次补货、定时补货、随机补货,10
场站接货：一般指仓储企业受存货人委托或合同约束到车站、码头接运物品到储运地。一般零担托运和小批量物品采用此方法。,场站接货：一般指仓储企业受存货人委托或合同约束到车站、码头接运物品到储运地。一般零担托运和小批量物品采用此方法。,10
包装作业成本分析与控制包括以下内容：使用物美价廉的包装材料；包装作业机械化，提高包装效率；采用大包装，尽量使包装简单化，节约包装材料；利用原有包装，加贴新标签。,使用物美价廉的包装材料；尽量使包装简单化，节约包装材料；利用原有包装，加贴新标签。,6
评估时间效率主要是指掌握单位时间内收入、产出量、作业单元数及各作业时间比率。,评估时间效率，主要是掌握单位时间内收入、产出量、作业单元数及各作业时间比率。,10
动管储区：在拣货作业时所使用的拣货区域。此区域的货品大多在短时期即将被拣取出货，其货品在储位上流动频率很高所以称为动管储区,动管储区：在拣货作业时所使用的拣货区域。此区域的货品大多在短时期即将被拣取出货，其货品在储位上流动频率很高所以称为动管储区,10
仓库管理员是仓库内从事与物品仓储迆管理有关工作的一线操作人员的统称，包括直接从事物品收发、出入库、分拣、理货等工作的人员，不含装卸工，简称仓管员。,仓库管理员是仓库内从事与物品仓储迆管理有关工作的一线操作人员的统称，包括直接从事物品收发、出入库、分拣、理货等工作的人员，不含装卸工，简称仓管员。,10
矩阵制优点包含：打破单向领导，加强了管理部门间的联系和配合，有利于信息沟通和共同决策，提高工作的效率；把不同的专业人员组织在一起，有利于激发人们的积极性和创造性，提高技术水平和管理水平；把完成任务所需的各种专业知识和经验集中在一起，提高了管理组织的机动性和灵活性。,矩阵制优点包含：打破单向领导，加强了管理部门间的联系和配合，有利于信息沟通和共同决策，提高工作的效率；把不同的专业人员组织在一起，有利于激发人们的积极性和创造性，提高技术水平和管理水平；把完成任务所需的各种专业知识和经验集中在一起，提高了管理组织的机动性和灵活性。,10
库存控制是指在保障供应的前提下，使库存物品的数量合理所进行的有效管理的技术经济措施。,库存控制是指在保障供应的前提下，使库存物品的数量合理所进行的有效管理的技术经济措施。,10
按单分拣作业方法特点包括：易于实施，配货准确度高，不易出错；各客户分拣相互没有约束；分拣完一个货单，货物便配齐，货物不再落地暂存，可直接装车配送；客户数量不受限制，可在很大范围内波动；对机械化、自动化没有严格要求，不受设备水平限制。,按单分拣作业方法特点：易于实施，配货准确度高，不易出错；各客户分拣相互没有约束；分拣完一个货单，货物便配齐，货物不再落地暂存，可直接装车配送；客户数量不受限制，可在很大范围内波动；对机械化、自动化没有严格要求，不受设备水平限制。,10
影响仓库平面布置的因素：仓库的专业化程度、仓库的规模和功能。,仓库的专业化程度、仓库的功能。,7
子标签拣选系统（DPS），是以一连串装于货架格位上的电子显示装置(电子标签)取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,子标签拣选系统（DPS），是以一连串装于货架格位上的电子显示装置(电子标签)取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,10
专业库是用于存放一种或某一大类物品的仓库。,专业库是用于存放一种或某一大类物品的仓库。,10
按单分拣的优点：作业方法简单；订单处理前置时间短；导入容易且作业弹性大；作业员责任明确，作业容易组织；拣货后不必再进行分类作业。,作业方法简单；订单处理前置时间短；导入容易且作业弹性大；拣货后不必再进行分类作业。,8
分拣的动作由自动的机械负责，电子信息输入后自动完成分拣作业，无须人手介入。大致有四个分段：合流、分拣识别、分拣分流和分运。,分拣的动作由自动的机械负责，电子信息输入后自动完成分拣作业，无须人手介入。大致有四个分段：合流、分拣识别、分拣分流和分运。,10
配装：在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题。,配装：在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题。,10
做好绩效管理的关键是建立明确的切实可行的KPI体系。,建立明确的切实可行的KPI体系，是做好绩效管理的关键。,10
仓库专业化程度主要与库存物品的种类有关。,仓库专业化程度主要与库存物品的种类有关。,10
拣选作业是根据出库信息或订单， 将顾客订购的物品从保管区或拣货区取出，也可以直接在进货过程中取出，并运至配货区的作业过程。 ,拣选作业是根据出库信息或订单， 将顾客订购的物品从保管区或拣货区取出，也可以直接在进货过程中取出，并运至配货区的作业过程。 ,10
条形码的识读原理：根据不同颜色的物体，其反射的可见光的波长不同，光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,条形码的识读原理：根据不同颜色的物体，其反射的可见光的波长不同，光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,10
仓储合同的验收有三点：一是验收项目、二是验收方法、三是验收期限。,仓储合同的验收有三点：一是验收项目、二是验收方法、三是验收期限。,10
MRP(Material Resource Planning)：是一种保证既不出现短缺，也不积压库存的计划方法，是ERP系统的核心功能模块。,MRP(Material Resource Planning)：是一种保证既不出现短缺，也不积压库存的计划方法，是ERP系统的核心功能模块。,10
进货成本是指在进货途中所花费的全部支出。包括包装费、装卸费等等。,进货成本是指在进货途中所花费的全部支出。包括包装费、装卸费等等。,10
重力式货架是指在货架每层的通道上，都安装有一定坡度的、带有轨道的 导轨，入库的单元货物在重力的作用下，由入库端流向出库端。 ,重力式货架是指在货架每层的通道上，都安装有一定坡度的、带有轨道的 导轨，入库的单元货物在重力的作用下，由入库端流向出库端。 ,10
配货作业中的包装主要是运输包装，主要作用是保护货物并将多个零散包装物品放人大小合适的箱子中，实现整箱集中装卸、成组化搬运等，减少搬运次数，降低货损，提高配送效率。,配货作业中的包装主要是指运输包装，其主要作用是为了保护货物并将多个零散包装物品放人大小合适的箱子中，以实现整箱集中装卸、成组化搬运等，同时减少搬运次数，降低货损，提高配送效率。,10
地面型仓库一般是指单层地面库，多实用非货架型的保管设备。,地面型仓库一般是指单层地面库，多实用非货架型的保管设备。,10
配送作业活动以客户发出的订货信息作为配送作业的驱动源。,配送作业活动是以客户发出的订货信息（即订单）作为配送作业的驱动源的。,10
配货的优点有：A 配货作业是配送中心区别于传统仓储作业的明显特征；B 增加了配货业务，增强了企业的灵活性、竞争力和生存力；C 提高了仓库利用率；D 增加了车辆配载率，使空置、闲置的资源得到了全面的利用。,配货的优点：A 配货作业是配送中心区别于传统仓储作业的明显特征；B 增加了配货业务，增强了企业的灵活性、竞争力和生存力；C 提高了仓库利用率；D 增加了车辆配载率，使空置、闲置的资源得到了全面的利用。,10
TMS的功能模块：调度管理、车辆管理、配件管理、油耗管理、费用结算、人员管理、资源管理、财务核算、绩效考核、车辆跟踪、业务跟踪、业务统计、白卡管理、监控中心系统、账单查询等,业务统计、白卡管理、监控中心系统、账单查询等,4
货架型仓库指采用多层货架保管的仓库。货架上放着物品和托盘，物品和托盘可在货架上滑动。,货架型仓库指采用多层货架保管的仓库。货架上放着物品和托盘，物品和托盘可在货架上滑动。,10
专用型保税仓库包括液体危险品保税仓库、备料保税仓库、寄售维修保税仓库和其他专用型保税仓库。,专用型保税仓库包括液体危险品保税仓库、备料保税仓库、寄售维修保税仓库和其他专用型保税仓库。,10
集中不同客户的配送货物，进行搭配装载，以充分利用运能、运力的工作是配装。,集中不同客户的配送货物，进行搭配装载，以充分利用运能、运力的工作是配装。,10
盘点的原则包括：真实、准确、完整、清楚。,盘点的原则包括：真实、准确、完整、清楚。,10
无线射频识别（RFID）是通过一种无线电讯号和微芯片标签识别特定目标并读写相关数据的通讯技术。,RFID是通过一种无线电讯号标签识别特定目标的通讯技术。,7
装卸：指的是物品在指定地点以人力或机械载入或卸出运输工具的作业过程。,装卸：指的是物品在指定地点以人力或机械载入或卸出运输工具的作业过程。,10
条码的类别 ：商品条码、物流条码、二维条码。,条码的类别 ：商品条码、物流条码,7
仓库的全面盘点：是指每季度、半年或年终财务结算前进行一次全面的盘点。,仓库的全面盘点：是指每季度、半年或年终财务结算前进行一次全面的盘点。,10
送货作业：需要事先规划配送区域的划分或配送线路的安排，由配送路线选用的先后次序来决定商品装车顺序，并在商品配送途中进行商品跟踪、控制。包含将货物装车并实际配送。,送货作业：需要事先规划配送区域的划分或配送线路的安排，由配送路线选用的先后次序来决定商品装车顺序，并在商品配送途中进行商品跟踪、控制。包含将货物装车并实际配送。,10
叉车是指具有各种叉具，能够对物品进行升降和移动以及装卸作业的搬运车辆。,叉车是指具有各种叉具，能够对物品进行升降和移动以及装卸作业的搬运车辆。,10
分拣作业就是将用户所订的货物从储存保管处取出，按用户分类、集中、处理、放置。,分拣作业就是将用户所订的货物从储存保管处取出，集中、处理、放置。,7
散堆方式：指将无包装的散货在仓库或露天货场上堆成货堆的存放方式。,散堆方式：指将无包装的散货在仓库或露天货场上堆成货堆的存放方式。,10
用发生的各种事故的大小和次数来表示物品储存的安全性指标，主要有人身伤亡、仓库失火、爆炸、被盗、机械损坏事故几类。,用发生的各种事故的大小和次数来表示物品储存的安全性指标，主要有人身伤亡、仓库失火、爆炸、被盗、机械损坏事故几类。,10
物流配送中心选址规划所考虑的因素有：经济环境因素  ；自然环境因素；政策环境因素  。,物流配送中心选址规划所考虑的因素有：经济环境因素  ；自然环境因素；政策环境因素  。,10
盘点作业应考虑的问题有：A盘点中，实际存量和账面存量的差异是多少？B这些差异是发生在哪些品项？C每次循环盘点中，有几次确实存在误差？D平均每品项货品发生误差的次数是多少？,盘点作业应考虑的问题：A盘点中，实际存量和账面存量的差异是多少？B这些差异是发生在哪些品项？C每次循环盘点中，有几次确实存在误差？D平均每品项货品发生误差的次数是多少？,10
基于目标对运行结果的衡量是绩效评价。,绩效评价是基于目标对运行结果的衡量。,10
活动相关包括：程序性相关、组织管理上的相关、功能上的相关、环境上的相关。,活动相关包括：程序性相关、组织管理上的相关、功能上的相关、环境上的相关。,10
订单处理的方式：人工处理；计算机处理。,计算机处理。,5
持续改善组织和个人绩效，最终实现企业战略目标是绩效管理的根本目的；绩效管理是一种管理思想，渗透在企业管理的整个过程之中，涉及企业文化、战略和计划、组织、人力资源、领导、激励、统计与控制等各个方面。,持续改善组织和个人绩效，最终实现企业战略目标是绩效管理的根本目的；绩效管理是一种管理思想，渗透在企业管理的整个过程之中，涉及企业文化、战略和计划、组织、人力资源、领导、激励、统计与控制等各个方面。,10
配送中心的设备主要用于物流作业活动，如：保管、搬运、存储、装卸、配送等。,配送中心的设备主要用于保管、搬运、存储、装卸、配送等物流作业活动。,10
保管员是指对存储物品进行保存、维护管理的人员。,保管员是指对存储物品进行保存、维护管理的人员。,10
反映仓储作业设施设备利用程度的指标：仓库货物周转率；单位面积储存量；仓库空间利润率；设备利润率。,反映仓储作业设施设备利用程度的指标：仓库货物周转率；单位面积储存量；仓库空间利润率；设备利润率。,10
进货成本和购买成本与订货批量无关，叫做固定成本。,进货成本和购买成本与订货批量无关，叫做固定成本。,10
DBMS是一种操作和管理数据库的大型软件，功能是建立、使用和维护数据库。DBMS管理着物流系统中的库存、货位、入出库记录等重要数据。,DBMS是一种操作和管理数据库的大型软件，可用于建立、使用和维护数据库。物流系统中的库存、货位、入出库记录等重要数据都是通过DBMS管理的。,10
保管员是指对存储物品进行保存、维护管理的人员。,对存储物品进行保存管理的人员。,6
仓储成本是指仓储企业在储存物品过程中，包括装卸搬运、存储保管、流通加工、收发物品等各个环节，和建造、购置仓库等设施设备所消耗的人力、物力、财力及风险成本的总和。,仓储成本是指仓储企业在储存物品过程中，包括装卸搬运、流通加工、收发物品等各个环节，和建造、购置仓库等设施设备所消耗的人力、物力、财力及风险成本的总和。,9
在经济合理区域范围内，根据用户的要求，对物品进行拣选、加工、包装、分割、组配等作业，并按时送达指定地点的物流活动是配送,配送：是指“在经济合理区域范围内，根据用户的要求，对物品进行拣选、加工、包装、分割、组配等作业，并按时送达指定地点的物流活动,10
活动相关包括：程序性相关、组织管理上的相关、功能上的相关、环境上的相关。,活动相关可概括为：程序性相关、组织管理上的相关、功能上的相关、环境上的相关。,10
进货：配送中心根据客户的需要，为配送业务的顺利实施，而从事的组织商品货源和进行商品存储的一系列活动。进货是配送的准备工作或基础工作，它是配送的基础环节，又是决定配送成败与否、规模大小的最基础环节。同时，也是决定配送效益高低的关键环节。,进货：配送中心根据客户的需要，为配送业务的顺利实施，而从事的组织商品货源和进行商品存储的一系列活动。进货是配送的准备工作或基础工作，它是配送的基础环节，又是决定配送成败与否、规模大小的最基础环节。同时，也是决定配送效益高低的关键环节。,10
将物品按品种、出入库先后顺序进行分门别类堆放的作业就是分拣。,分拣是将物品按品种、出入库先后顺序进行分门别类堆放的作业。,10
节约里程法的意义包括：满足客户配送需要；减少配送车辆使用；减少配送车辆使用。,节约里程法的意义：满足客户配送需要；减少配送车辆使用；减少配送车辆使用。,10
场所效用指同种"物"由于空间场所不同，其使用价值的实现程度则不同，其效益的实现也不同。由于改变场所而最大发挥使用价值，最大限度提高了投入产出比，这就称之为"场所效用"。,场所效用指同种"物"由于空间场所不同，其使用价值的实现程度则不同，其效益的实现也不同。由于改变场所而最大发挥使用价值，最大限度提高了投入产出比，这就称之为"场所效用"。,10
补货方式：整箱补货；整托补货；货架之间的补货。,补货方式有：整箱补货；整托补货；货架之间的补货。,10
诺成合同，是指合同自双方达成合意时成立。,诺成合同是指合同成立。,5
货物的仓储成本主要是指货物保管的各种支出，其中一部分为仓储设施和设备的投资，另一部分则为仓储保管作业中的活劳动或者物化劳动的消耗，主要包括工资和能源消耗等。,货物的仓储成本是指货物保管的各种支出。,2
